Regulation,Year,Agency,Cost
"The Emergency Food Assistance Program: Implementation of the Agriculture Improvement Act of 2018","2019","Agriculture","0.0"
"Meal Pattern Revisions Related to the Healthy, Hunger-Free Kids Act of 2010","2016","Agriculture","-79.2m"
"Establishment of a Domestic Hemp Production Program","2019","Agriculture","589.8m"
"Mexican Hass Avocado Import Program","2016","Agriculture","7.0m"
"COMMUNITY FACILITIES GUARANTEED LOAN PROGRAM GUARANTEE FEE RATE, ANNUAL RENEWAL FEE, RURAL AREA DEFINITION, AND FUNDING PRIORITY FOR FISCAL YEAR 2020; AND WATER AND WASTE DISPOSAL PROGRAMS GUARANTEED RURAL AREA DEFINITION AND FUNDING RESERVATION FOR FISCA","2019","Agriculture","0.0"
"Guaranteed Loanmaking and Servicing Regulations","2016","Agriculture","2.5m"
"Supplemental Nutrition Assistance Program: Requirements for Able-Bodied Adults Without Dependents","2019","Agriculture","2.3m"
"Electronic Export Application and Certification Charge","2016","Agriculture","2.3m"
"CONSERVATION STEWARDSHIP PROGRAM (CSP) INTERIM RULE","2019","Agriculture","0.0"
"CATASTROPHIC RISK PROTECTION ","2016","Agriculture","0.0"
"ENVIRONMENTAL QUALITY INCENTIVES PROGRAM","2019","Agriculture","0.0"
"Local and Regional Food Aid Procurement Program","2016","Agriculture","0.0"
"Brucellosis Class Free States and Brucellosis-Free Herds","2010","Agriculture","0.0"
"Requirements for the Disposition of Non-Ambulatory Disabled Veal Calves","2016","Agriculture","1.0m"
"Special Supplemental Nutrition Program for Women, Infants and Children","2009","Agriculture","750.0k"
"Local School Wellness Policy Implementation","2016","Agriculture","21.6m"
"Mandatory Country of Origin Labeling of Beef","2009","Agriculture","1.1b"
"Compliance With the National Environmental Policy Act","2016","Agriculture","0.0"
"Requirements for the Disposition of Cattle","2009","Agriculture","1.4m"
"Viruses, Serums, Toxins, and Analogous Products; Packaging and Labeling","2016","Agriculture","2.4m"
"Sugar Program","2009","Agriculture","0.0"
"EZ Guarantee Program and Micro Lender Program","2016","Agriculture","0.0"
"Conservation Reserve Program","2009","Agriculture","191.2m"
"Sections 202(a) and (b) of the Packers and Stockyards Act","2016","Agriculture","937.9m"
"SUPPLEMENTAL REVENUE ASSISTANCE PAYMENTS PROGRAM ","2009","Agriculture","0.0"
"Livestock Mandatory Reporting; Reestablishment and Revision","2008","Agriculture","420.0k"
"DAIRY ECONOMIC LOSS ","2009","Agriculture","0.0"
"Nutrition Labeling of Single-Ingredient Products","2010","Agriculture","156.4m"
"LIVESTOCK FORAGE DISASTER PROGRAM","2009","Agriculture","0.0"
"FARM STORAGE FACILITY LOAN","2009","Agriculture","0.0"
"School Food Safety Inspections","2009","Agriculture","0.0"
"CONSERVATION STEWARDSHIP PROGRAM ","2009","Agriculture","0.0"
"Vendor Cost Containment","2009","Agriculture","0.0"
"User Fees for Agricultural Quarantine and Inspection Services","2024","Agriculture","0.0"
"BROADBAND INITIATIVES PROGRAM","2009","Agriculture","0.0"
"School Food Safety Program ","2009","Agriculture","116.0m"
"MARKETING ASSISTANCE LOANS","2009","Agriculture","0.0"
"ENVIRONMENTAL QUALITY INCENTIVES PROGRAM","2009","Agriculture","0.0"
"Establishment of Honey Packers and Importers Research","2008","Agriculture","-120.0k"
"WETLANDS RESERVE PROGRAM","2009","Agriculture","0.0"
"Horse Protection Amendments","2024","Agriculture","47.0k"
"Child Nutrition Programs: Community Eligibility Provision-Increasing Options for Schools","2023","Agriculture","108.0k"
"Rural Microentrepreneur Assistance Program","2010","Agriculture","-38.5k"
"COTTON WORLD PRICE DETERMINATION","2008","Agriculture","0.0"
"Use of Electronic Identification Eartags as Official Identification in Cattle and Bison","2024","Agriculture","261.0m"
"Rural Development Guaranteed Loans","2008","Agriculture","3.3m"
"BOVINE SPONGIFORM ENCEPHALOPATHY","2005","Agriculture","0.0"
"Conservation Stewardship Program","2010","Agriculture","0.0"
"National Forest System Land Management Planning","2005","Agriculture","-4.6m"
"Quarantine and Interstate Movement Regulations","2010","Agriculture","0.0"
"Verification of Eligibility for Free and Reduced Price Meals in the National School","2008","Agriculture","130.0k"
"National Organic Program (NOP); Organic Livestock and Poultry Standards","2023","Agriculture","519.5m"
"Nutrition Standards in the National School Lunch and School Breakfast Programs","2012","Agriculture","3.2b"
"Exempting Organic Producers From Assessment","2005","Agriculture","-1.7m"
"SNAP: Eligibility, Certification, and Employment and Training","2017","Agriculture","-286.0m"
"Organic Livestock and Poultry Practices","2017","Agriculture","370.0m"
"Scope of Sections 202(a) and (b) of the Packers and Stockyards Act","2017","Agriculture","-52.9m"
"School Breakfast Program: Severe Need Assistance","2005","Agriculture","0.0"
"Regulations Governing the California Clingstone Peach (Tree Removal)","2005","Agriculture","25.0m"
"Assistance to High Energy Cost Rural Communities","2005","Agriculture","0.0"
"DIRECT AND COUNTER-CYCLICAL PROGRAM AND AVERAGE CROP REVENUE ELECTION PROGRAM","2008","Agriculture","0.0"
"National Organic Program (NOP); Organic Livestock and Poultry Practices","2018","Agriculture","-492.3m"
"Food Stamp Program: Revisions to Bonding Requirements for Violating Retail","2008","Agriculture","-2.5m"
"2017 Wildfires and Hurricanes Indemnity Program","2018","Agriculture","0.0"
"SEED COTTON CHANGES TO AGRICULTURE RISK COVERAGE (ARC), PRICE LOSS COVERAGE (PLC) PROGRAMS ","2018","Agriculture","0.0"
"MARKET FACILITATION PROGRAM ","2018","Agriculture","0.0"
"TOBACCO TRANSITION ASSESSMENTS","2005","Agriculture","0.0"
"National Bioengineered Food Disclosure Standard","2018","Agriculture","5.6b"
"Pecans Grown in the States of Alabama…","2018","Agriculture","0.0"
"Procedures for Conditions and Prescriptions in Hydropower Licenses","2005","Agriculture","0.0"
"Thresholds for De Minimis Activity and Exemptions From Licensing Under the Animal Welfare Act","2018","Agriculture","-68.0k"
"Transparency in Poultry Grower Contracting and Tournaments","2023","Agriculture","11.3m"
"Conditions for Payment of Highly Pathogenic Avian Influenza Indemnity Claims","2018","Agriculture","11.3m"
"National Bioengineered Food Disclosure Standard; List of Bioengineered Foods","2023","Agriculture","21.5m"
"Agricultural Trade Promotion Program","2018","Agriculture","200.0m"
"Establishing a Performance Standard for Authorizing the Importation and Interstate Movement of Fruits and Vegetables","2018","Agriculture","-17.0m"
"Branding Requirements for Bovines Imported Into the United States From Mexico","2018","Agriculture","-2.6m"
"New Analytic Methods and Sampling Procedures","2012","Agriculture","110.0k"
"National Organic Program; Periodic Residue Testing","2012","Agriculture","740.0k"
"Streamlining Program Requirements and Improving Integrity in the Summer Food Service Program (SFSP)","2022","Agriculture","-3.9m"
"AGRICULTURAL CONSERVATION EASEMENT PROGRAM","2020","Agriculture","0.0"
"Approval of Laboratories To Conduct Official Testing; Consolidation of Regulations","2020","Agriculture","-15.7m"
"REGIONAL CONSERVATION PARTNERSHIP PROGRAM","2020","Agriculture","0.0"
"Special Servicing of Telecommunications Programs Loans for Financially Distressed Borrowers","2020","Agriculture","0.0"
"Dairy Product Mandatory Reporting","2012","Agriculture","110.0k"
"Lacey Act Implementation Plan: De Minimis Exception","2020","Agriculture","-7.9m"
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): Implementation of the Access to Baby Formula Act of 2022 and Related Provisions","2023","Agriculture","600.0k"
"Rural Broadband Loans, Loan/Grant Combinations, and Loan Guarantees","2020","Agriculture","31.3m"
"Animal Welfare; Amendments to Licensing Provisions and to Requirements for Dogs","2020","Agriculture","20.5m"
"Movement of Certain Genetically Engineered Organisms","2020","Agriculture","-118.6m"
"OneRD Guaranteed Loan Regulation","2020","Agriculture","0.0"
"Special Authority To Enable Funding of Broadband and Smart Utility Facilities Across Select Rural Development Programs","2020","Agriculture","0.0"
"Deregulation of Pine Shoot Beetle","2020","Agriculture","-514.3k"
"Conservation Stewardship Program (CSP)","2020","Agriculture","1.9m"
"Environmental Quality Incentives Program","2020","Agriculture","4.5b"
"Egg Products Inspection Regulations","2020","Agriculture","-15.7m"
"Supplemental Nutrition Assistance Program: Requirement for Interstate Data Matching To Prevent Duplicate Issuances","2022","Agriculture","38.5m"
"Commodity Supplemental Food Program: Implementation of the Agriculture Improvement Act of 2018","2020","Agriculture","0.0"
"Undue and Unreasonable Preferences and Advantages Under the Packers and Stockyards Act","2020","Agriculture","17.3m"
"Possession, Use, and Transfer of Biological Agents and Toxins","2005","Agriculture","15.4m"
"Removal of Emerald Ash Borer Domestic Quarantine Regulations","2020","Agriculture","-268.6m"
"Establishing the Summer EBT Program and Rural Non-Congregate Option in the Summer Meal Programs","2023","Agriculture","3.2b"
"Data Collection Related to the Participation of Faith-Based and Community","2007","Agriculture","0.0"
"Conservation Reserve Program","2010","Agriculture","0.0"
"Procurement Requirements for the National School Lunch, School Breakfast","2007","Agriculture","0.0"
"Phytophthora Ramorum; Quarantine and Regulations","2007","Agriculture","0.0"
"Use of Specified Risk Materials for Human Food and Requirements","2007","Agriculture","856.0m"
"Enhancing Program Access and Delivery for Farm Loans","2024","Agriculture","0.0"
"Bovine Spongiform Encephalopathy; Minimal-Risk Regions","2007","Agriculture","165.6m"
"EMERGENCY AGRICULTURAL ASSISTANCE, 2007; CROP DISASTER","2007","Agriculture","0.0"
"CONSERVATION SECURITY PROGRAM","2005","Agriculture","0.0"
"2005-2007 LIVESTOCK COMPENSATION AND CATFISH GRANT PROGRAMS","2007","Agriculture","0.0"
"SUPPLEMENTAL NUTRITION PROGRAM FOR WOMEN, INFANTS AND CHILDREN","2007","Agriculture","0.0"
"2003-2005 CROP DISASTER PROGRAMS ","2005","Agriculture","0.0"
"Country of Origin Labeling of Beef, Pork, Lamb, Chicken, Goat Meat, Ginseng","2008","Agriculture","2.7b"
"2006 EMERGENCY AGRICULTURAL DISASTER ASSISTANCE PROGRAM","2007","Agriculture","0.0"
"2006 LIVESTOCK ASSISTANCE GRANT PROGRAM","2007","Agriculture","0.0"
"2003 AND 2004 LIVESTOCK ASSISTANCE PROGRAM ","2005","Agriculture","0.0"
"TOBACCO TRANSITION PAYMENT PROGRAM","2005","Agriculture","0.0"
"Pandemic Assistance Programs and Agricultural Disaster Assistance Programs","2023","Agriculture","55.2m"
"Prior Label Approval System: Expansion of Generic Label Approval","2023","Agriculture","-5.5m"
"Food Stamp Electronic Benefit Transfer (EBT) Systems","2005","Agriculture","0.0"
"National Organic Program (NOP); Strengthening Organic Enforcement","2023","Agriculture","216.5m"
"Special Areas; Roadless Area Conservation; National Forest System Lands in Alaska","2023","Agriculture","9.3m"
"Specialty Crop Block Grant Program-Farm Bill; Notice of Request for Approval","2008","Agriculture","0.0"
"Viral Hemorrhagic Septicemia; Interstate Movement and Import Restrictions","2008","Agriculture","0.0"
"Export Inspection and Weighing Waiver for High Quality Specialty Grains","2005","Agriculture","2.0k"
"Fluid Milk Substitutions in School Nutrition Programs","2008","Agriculture","31.0m"
"HUNGER-FREE KIDS OF 2010 ","2014","Agriculture","0.0"
"Paper and Paper-Based Packaging Promotion, Research and Information Order","2014","Agriculture","0.0"
"Standards for Birds Not Bred for Use in Research Under the Animal Welfare Act","2023","Agriculture","20.3m"
"DISASTER ASSISTANCE PROGRAMS, PAYMENT LIMITATIONS, AND PAYMENT ELIGIBILITY ","2014","Agriculture","0.0"
"GENERAL ADMINISTRATIVE REGULATIONS","2014","Agriculture","0.0"
"Special Areas; State Petitions for Inventoried Roadless Area Management","2005","Agriculture","3.9m"
"Food Distribution Program on Indian Reservations","2010","Agriculture","852.0k"
"COTTON TRANSITION ASSISTANCE PROGRAM AND GENERAL PROVISIONS FOR AGRICULTURE RISK COVERAGE AND PRICE LOSS COVERAGE PROGRAMS ","2014","Agriculture","0.0"
"Modernization of Poultry Slaughter Inspection","2014","Agriculture","25.1m"
"Margin Protection Program for Dairy","2014","Agriculture","0.0"
"Farm Security and Rural Investment Act of 2002","2010","Agriculture","0.0"
"Agriculture Risk Coverage and Price Loss Coverage Programs","2014","Agriculture","0.0"
"Requirements for Official Establishments To Notify FSIS","2012","Agriculture","11.2m"
"Environmental Quality Incentives Program (EQIP)","2014","Agriculture","0.0"
"Cattle Contracts Library Pilot Program","2022","Agriculture","615.0k"
"Advanced Biofuel Payment Program","2011","Agriculture","0.0"
"Descriptive Designation for Raw Meat and Poultry Products","2014","Agriculture","111.0m"
"BIOREFINERY ASSISTANCE","2011","Agriculture","0.0"
"Changes to the Schedule of Operations Regulations","2011","Agriculture","25.8m"
"Food Stamp Program: Civil Rights Data Collection","2006","Agriculture","0.0"
"Citrus Canker, Citrus Greening, and Asian Citrus Psyllid","2011","Agriculture","3.2m"
"Kiwifruit Grown in California; Relaxation of Container Marking Requirements","2006","Agriculture","0.0"
"Cooperative Inspection Programs: Interstate Shipment of Meat","2011","Agriculture","271.1m"
"Healthy Forests Reserve Program","2006","Agriculture","0.0"
"Highly Pathogenic Avian Influenza","2011","Agriculture","0.0"
"Ante-Mortem Inspection of Horses","2006","Agriculture","100.0k"
"Implementation of Regulations Required Under Title XI","2011","Agriculture","72.1m"
"Partnerships With Faith-Based and Neighborhood Organizations","2024","Agriculture","255.2m"
"Import Restrictions on Certain Live Fish, Fertilized Eggs, and Gametes","2006","Agriculture","380.0k"
"Migrant and Runaway Children for Free School Meals","2011","Agriculture","30.0m"
"Milk in the Northeast","2006","Agriculture","0.0"
"National Dairy Promotion and Research Program; Final Rule","2011","Agriculture","6.0m"
"Inclusive Competition and Market Integrity Under the Packers and Stockyards Act","2024","Agriculture","2.4m"
"FOOD STAMP PROGRAM: EMPLOYMENT AND TRAINING PROGRAM PROVISIONS","2006","Agriculture","0.0"
"National School Lunch Program: School Food Service Revenue","2011","Agriculture","41.0m"
"CONSERVATION RESERVE PROGRAM--EMERGENCY FORESTRY CONSERVATION","2006","Agriculture","0.0"
"Healthy Forests Reserve Program","2010","Agriculture","0.0"
"Rural Broadband Access Loans and Loan Guarantees","2011","Agriculture","0.0"
"EMERGENCY CONSERVATION PROGRAM","2006","Agriculture","0.0"
"Softwood Lumber Research, Promotion, Consumer Education","2011","Agriculture","24.0k"
"Rural Energy for America Program","2014","Agriculture","0.0"
"SECTION 32 HURRICANE DISASTER PROGRAMS","2006","Agriculture","0.0"
"Special Supplemental Nutrition Program for Women, Infants","2011","Agriculture","4.0m"
"MILK INCOME LOSS CONTRACT PROGRAM","2006","Agriculture","0.0"
"Supplemental Nutrition Assistance Program: Privacy Protections","2011","Agriculture","200.0k"
"DIRECT AND COUNTER-CYCLICAL PROGRAM ADVANCE PAYMENTS","2006","Agriculture","0.0"
"Tuberculosis in Cattle and Bison; State and Zone Designations","2011","Agriculture","-165.0k"
"GRASSLAND RESERVE PROGRAM","2006","Agriculture","0.0"
"National Organic Program; Access to Pasture","2010","Agriculture","210.0k"
"Livestock Mandatory Reporting Program","2012","Agriculture","100.0k"
"Tuberculosis in Cattle and Bison; State and Zone Designations","2011","Agriculture","-993.0k"
"Voluntary Labeling Program for Biobased Products","2011","Agriculture","8.4m"
"Employment and Training Opportunities in the Supplemental Nutrition Assistance Program","2021","Agriculture","290.0m"
"Tuberculosis in Cattle and Bison; State and Zone Designations; Minnesota","2008","Agriculture","-15.2m"
"Pecan Promotion, Research, and Information Order","2021","Agriculture","1.8m"
"Establishment of a Domestic Hemp Production Program","2021","Agriculture","27.1m"
"Voluntary Labeling of FSIS-Regulated Products With U.S.-Origin Claims","2024","Agriculture","16.8m"
"Agricultural Conservation Easement Program","2021","Agriculture","1.0m"
"Rural Energy for America Program","2021","Agriculture","0.0"
"Rural Innovation Stronger Economy (RISE) Grant Program","2021","Agriculture","0.0"
"Heirs' Property Relending Program (HPRP), Improving Farm Loan Program Delivery, and Streamlining Oversight Activities","2021","Agriculture","869.0m"
"Coronavirus Food Assistance Program 2; Producers of Sale-Based Commodities and Contract Producers","2021","Agriculture","3.8m"
"Crop Assistance Program","2010","Agriculture","0.0"
"Establishment of a Dairy Donation Program","2021","Agriculture","0.0"
"Supplemental Dairy Margin Coverage Payment; Conservation Reserve Program; Dairy Indemnity Payment Program; Marketing Assistance Loans, Loan Deficiency Payments, and Sugar Loans; and Oriental Fruit Fly Program","2021","Agriculture","0.0"
"Lamb Promotion, Research, and Information Order; Activity Changes","2021","Agriculture","54.8k"
"Alternatives Development Procedures in Hydropower Licenses","2015","Agriculture","0.0"
"Biobased Product Manufacturing Assistance Program","2015","Agriculture","0.0"
"Child Nutrition Programs: Transitional Standards for Milk, Whole Grains, and Sodium","2022","Agriculture","-4.6b"
"Conservation Compliance","2015","Agriculture","55.5m"
"Final Affordability Determination-Energy Efficiency Standards","2015","Agriculture","997.0k"
"IMPORTATION OF BEEF FROM A REGION IN ARGENTINA","2015","Agriculture","0.0"
"IMPORTATION OF BEEF FROM A REGION IN BRAZIL","2015","Agriculture","0.0"
"Needle- or Blade-Tenderized (Mechanically Tenderized) Beef Products","2015","Agriculture","7.8m"
"Supplemental Nutrition Assistance Program: Standardization of State Heating and Cooling Standard Utility Allowances","2024","Agriculture","561.0k"
"Professional Standards for State and Local School Nutrition Programs","2015","Agriculture","0.0"
"Supplemental Nutrition Assistance Program (SNAP): Employment and Training Program Monitoring, Oversight and Reporting Measures","2024","Agriculture","3.8m"
"Strategic Economic and Community Development","2015","Agriculture","106.0k"
"Viruses, Serums, Toxins, and Analogous Products","2015","Agriculture","4.1m"
"National Organic Program; Access to Pasture","2010","Agriculture","0.0"
"USER FEES FOR AGRICULTURAL QUARANTINE AND INSPECTION SERVICES","2015","Agriculture","0.0"
"Mandatory Inspection of Fish of the Order Siluriformes","2015","Agriculture","326.0k"
"Records To Be Kept by Establishments That Grind Raw Beef Products","2015","Agriculture","70.1m"
"Biomass Crop Assistance Program","2010","Agriculture","0.0"
"Food Stamp Program: Eligibility and Certification","2010","Agriculture","0.0"
"Renewable Energy Systems and Energy Efficiency Improvements Grant","2005","Agriculture","5.4m"
"Preserving Trust Benefits Under the Packers and Stockyards Act","2023","Agriculture","0.0"
"Traceability for Livestock Moving Interstate","2013","Agriculture","47.0m"
"Mandatory Country of Origin Labeling of Beef, Pork, Lamb, Chicken","2013","Agriculture","192.1m"
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC): Revisions in the WIC Food Packages","2024","Agriculture","0.0"
"EDUCATION AND OBESITY PREVENTION GRANT PROGRAM ","2013","Agriculture","0.0"
"National School Lunch Program and School Breakfast Program: Nutrition Standards","2013","Agriculture","125.7m"
"Weighing, Feed, and Swine Contractors","2013","Agriculture","362.0k"
"Food Distribution Program on Indian Reservations: Income Deductions","2013","Agriculture","0.0"
"Tuberculosis in Cattle and Bison; State and Zone Designations; Minnesota","2008","Agriculture","29.1m"
"Importation of Cape Gooseberry From Colombia Into the United States","2013","Agriculture","2.8m"
"Supplemental Nutrition Assistance Program: Trafficking Controls","2013","Agriculture","0.0"
"Accessibility Guidelines for Pedestrian Facilities in the Public Right-of-Way","2023","Barriers Compliance Board","4.4b"
"Endangered and Threatened Species; Designation of Critical Habitat for the Beringia Distinct Population Segment of the Bearded Seal","2022","Commerce","563.0k"
"Fisheries of the Northeastern United States; Atlantic Sea Scallop Fishery","2005","Commerce","1.3m"
"Revisions to the Export Administration Regulations","2013","Commerce","0.0"
"Designation of Critical Habitat for Seven Evolutionarily Significant Units of Pacific","2005","Commerce","18.8m"
"Revision of Firearms License Requirements","2024","Commerce","0.0"
"Fisheries of the Exclusive Economic Zone off Alaska; Cook Inlet Salmon; Amendment 16","2024","Commerce","543.0k"
"Endangered and Threatened Species; Critical Habitat for the Threatened Caribbean Corals","2023","Commerce","383.0k"
"Expansion of Nuclear Nonproliferation Controls on the People's Republic of China and Macau","2023","Commerce","0.0"
"Pacific Coast Groundfish Fishery Management Plan","2010","Commerce","0.0"
"Direct Investment Surveys: BE-11,  Survey","2010","Commerce","0.0"
"International Services Surveys: BE-140 Benchmark Survey of Insurance Transactions by U.S. Insurance Companies With Foreign Persons","2019","Commerce","0.0"
"Temporary General License: Extension of Validity, Clarifications to Authorized Transactions, and Changes to Certification Statement Requirements","2019","Commerce","0.0"
"Addition of Certain Entities to the Entity List and Revision of Entries on the Entity List","2019","Commerce","8.0k"
"Direct Investment Surveys: BE-10, Benchmark Survey of U.S. Direct Investment Abroad","2019","Commerce","0.0"
"Sea Turtle Conservation; Shrimp Trawling Requirements","2019","Commerce","3.9m"
"Taking of Marine Mammals Incidental to Commercial Fishing Operations","2010","Commerce","7.7m"
"Fisheries of the Northeastern United States; Atlantic Mackerel, Squid, and Butterfish ","2016","Commerce","-25.0k"
"International Trade in Seafood","2016","Commerce","-63.0k"
"Asia-Pacific Economic Cooperation Business Travel Card Program","2016","Commerce","18.3m"
"Fisheries of the Northeastern United States; Atlantic Coastal Fisheries Cooperative Management Act Provisions; American Lobster Fishery","2023","Commerce","468.0k"
"Threatened Southern Distinct Population Segment of Green Sturgeon","2010","Commerce","0.0"
"Pacific Halibut Fisheries; Guided Sport Charter Vessel Fishery for Halibut","2008","Commerce","0.0"
"Mandatory Automated Export System Filing for All Shipments","2008","Commerce","0.0"
"Annual Survey of U.S. Direct Investment Abroad","2009","Commerce","0.0"
"International Services Surveys: BE-150,  Survey ","2009","Commerce","0.0"
"International Services Survey: BE-140 Benchmark Survey of Insurance Transactions","2009","Commerce","0.0"
"International Services Surveys: BE-180","2010","Commerce","0.0"
"Revisions to the Trade Adjustment Assistance for Firms","2009","Commerce","0.0"
"STATE BROADBAND DATA AND DEVELOPMENT GRANT","2009","Commerce","0.0"
"Revisions of the Section 232 Steel and Aluminum Tariff Exclusions Process","2024","Commerce","444.0k"
"Cooperative Research and Technology Enhancement Act of 2004","2005","Commerce","0.0"
"Atlantic Sea Scallop Fishery; Framework Adjustment 21","2010","Commerce","9.0m"
"Changest to Patent Fee of Consolidated Appropriations Act","2005","Commerce","0.0"
"Designation of Critical Habitat for the Endangered New York Bight","2017","Commerce","1.2m"
"Direct Investment Surveys: BE-12, Benchmark Survey of Foreign Direct Investment in the United States","2017","Commerce","0.0"
"Fisheries Off West Coast States and in the Western Pacific","2005","Commerce","0.0"
"Data Collection Requirements for Charter Fishing Vessels","2005","Commerce","0.0"
"Concrete Masonry Products Research, Education and Promotion Order; Referendum Procedures","2021","Commerce","0.0"
"Concrete Masonry Products Research, Education, and Promotion Order","2021","Commerce","0.0"
"Electronic Submission of a Sequence Listing, a Large Table, or a Computer Program Listing Appendix in Patent Applications","2021","Commerce","0.0"
"MAGNUSON-STEVENS FISHERY CONSERVATION AND MANAGEMENT ACT PROVISIONS; FISHERIES OF THE NORTHEASTERN UNITED STATES; ESSENTIAL FISH HABITAT","2018","Commerce","0.0"
"International Services Surveys: BE-120 Benchmark Survey of Transactions in Selected Services","2018","Commerce","0.0"
"Changes To Implement Provisions of the Trademark Modernization Act of 2020","2021","Commerce","7.3m"
"International Services Surveys: Renewal of and Changes to BE-120 Benchmark Survey of Transactions in Selected Services and Intellectual Property With Foreign Persons, and Clarifying When BE-140 and BE-180 Benchmark Surveys Are Conducted","2022","Commerce","0.0"
"Requirements for Submissions Requesting Exclusions From Steel, Aluminum Tariffs","2018","Commerce","0.0"
"Rights to Federally Funded Inventions and Licensing of Government Owned Inventions","2018","Commerce","-110.0k"
"Removal of Certain General Approved Exclusions (GAEs) Under the Section 232 Steel and Aluminum Tariff Exclusions Process","2021","Commerce","489.0k"
"Submissions of Exclusion Requests and Objections to Submitted Requests for Steel and Aluminum","2018","Commerce","0.0"
"Fisheries of the Exclusive Economic Zone Off Alaska; Removal of GOA Sablefish IFQ Pot Gear Tags and Notary Certification Requirements","2021","Commerce","0.0"
"Allied Governments Favorable Treatment: Revisions to Certain Australia Group Controls; Revisions to Certain Crime Control and Detection Controls","2023","Commerce","0.0"
"Export Administration Regulations for Missile Technology Items: 2018, 2019, and 2021 Missile Technology Control Regime Plenary Agreements; and License Exception Eligibility","2023","Commerce","-24.0k"
"Securing the Information and Communications Technology and Services Supply Chain","2021","Commerce","71.9b"
"Direct Investment Surveys: BE-12, Benchmark Survey of Foreign Direct Investment in the United States","2022","Commerce","0.0"
"Direct Investment Surveys: BE-13, Survey of New Foreign Direct Investment in the United States","2022","Commerce","0.0"
"Steel Import Monitoring and Analysis System ","2005","Commerce ","2.0m"
"Control of Firearms, Guns, Ammunition and Related Articles the President Determines No Longer Warrant Control Under the United States Munitions List (USML)","2020","Commerce","-19.3m"
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Snapper-Grouper Fishery of the South Atlantic Region; Regulatory Amendment 27","2020","Commerce","-285.7k"
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Shrimp Fishery of the Gulf of Mexico; Amendment 18","2020","Commerce","-50.1m"
"International Services Surveys: BE-150, Quarterly Survey","2012","Commerce","0.0"
"Magnuson-Stevens Fishery Conservation and Management Act Provisions; Fisheries of the Northeastern United States; Industry-Funded Monitoring","2020","Commerce","36.0k"
"Fisheries of the Northeastern United States; Northeast Skate Complex; Framework Adjustment 8 and 2020-2021 Specifications","2020","Commerce","-4.1m"
"Licensing of Private Remote Sensing Space Systems","2020","Commerce","0.0"
"International Services Surveys: BE-180 Benchmark Survey of Financial Services Transactions Between U.S. Financial Services Providers and Foreign Persons","2020","Commerce","0.0"
"Fisheries of the Exclusive Economic Zone Off Alaska; IFQ Program; Modify Temporary Transfer Provisions","2020","Commerce","36.0k"
